Data1,,,Data2,,,Data3,,,Data4,,,Data5,
Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) 
4.43680682,1,,8.529402737,0,,6.451483705,0,,5.68916509,0,,5.298923804,0
4.507958915,1,,8.899126287,0,,7.115603421,0,,6.256788779,0,,5.68916509,0
4.591408903,1,,9.024355231,0,,7.340382402,0,,6.540600624,0,,6.270979372,0
4.657290472,1,,9.179400591,0,,7.43233744,0,,6.852793653,0,,6.576077105,0
4.734152303,1,,9.453711611,0,,8.08623993,0,,7.221749051,0,,6.80312658,0
4.805524003,1,,9.942700822,0,,8.464277307,0,,7.604895041,0,,7.235939643,0
4.92630688,1,,10.49728615,0,,8.842314684,0,,7.966755143,0,,7.597799745,0
5.00316871,1,,10.7954503,0,,8.975138627,0,,8.26475758,0,,7.980945736,0
5.101991064,1,,11.12939415,0,,9.169265929,0,,8.654998867,0,,8.250566988,0
5.233754202,1,,11.51104427,0,,9.39404491,0,,9.627054434,0,,8.654998867,0
5.28865551,1,,12.30416091,0,,9.894689004,0,,9.265194333,0,,9.279384925,0
5.376497602,1,,12.53076567,0,,10.42598478,0,,9.996009833,0,,9.612863842,0
5.43139891,1,,12.72755401,0,,10.73250157,0,,10.16629694,0,,10.00310513,0
5.519241002,1,,12.94819548,0,,11.07988727,0,,10.59201471,0,,10.13791575,0
5.590612702,1,,13.10920413,0,,11.43749019,0,,10.86873125,0,,10.58491941,0
5.700415317,1,,13.34177217,0,,12.2139994,0,,11.23768665,0,,10.89001714,0
5.771787017,1,,13.88443093,0,,12.44899561,0,,11.59954675,0,,11.21640076,0
5.832178456,1,,14.11699896,0,,12.63290568,0,,11.89754919,0,,11.54278439,0
5.892569894,1,,14.74910697,0,,12.87811911,0,,12.10331278,0,,11.92593038,0
5.974921856,1,,15.15461022,0,,13.75680059,0,,12.72769884,0,,12.08912219,0
6.051783686,1,,15.73901196,0,,14.02244847,0,,13.13213072,0,,12.74188943,0
6.117665256,1,,16.58579815,0,,14.63548206,0,,13.44432374,0,,13.13213072,0
6.189036956,1,,16.84221932,0,,15.04417111,0,,14.50152287,0,,13.36627549,0
6.243938263,1,,16.84221932,0,,15.61633579,0,,14.84209708,0,,14.48023698,0
6.315309963,1,,16.70506381,0,,16.45414836,0,,15.1684807,0,,14.82790649,0
6.386681663,1,,17.24772257,0,,16.70957902,0,,15.33167251,0,,15.14719481,0
6.469033625,1,,17.6234094,0,,16.5461034,0,,15.5374361,0,,15.29619603,0
6.529425063,1,,17.99909624,0,,17.11826807,0,,15.76448557,0,,15.5374361,0
6.589816501,1,,18.21377443,0,,17.50652268,0,,15.92058209,0,,15.74319969,0
6.710599378,1,,18.33304009,0,,17.88456005,0,,16.16182216,0,,15.92058209,0
6.787461209,1,,18.54771828,0,,18.10933904,0,,16.33920456,0,,16.15472686,0
6.875303301,1,,18.8220293,0,,18.22172853,0,,16.92101884,0,,16.33920456,0
6.952165132,1,,19.23349583,0,,18.43629028,0,,17.26159306,0,,16.90682825,0
7.018046701,1,,19.37661462,0,,18.65085203,0,,17.38930839,0,,17.26159306,0
7.078438139,1,,19.47799044,0,,18.80411043,0,,17.62345316,0,,17.41059427,0
7.144319709,1,,19.60321938,0,,19.07997554,0,,17.97821796,0,,17.60926257,0
7.303533501,1,,19.9133101,0,,19.22301671,0,,17.77245438,0,,17.99950385,0
7.303533501,1,,20.06239218,0,,19.3354062,0,,18.30460158,0,,17.75116849,0
7.210201278,1,,,,,19.44779569,0,,18.56003224,0,,18.31169688,0
7.352944678,1,,,,,19.77474694,0,,18.85093939,0,,18.56712754,0
7.457257162,1,,,,,19.90757088,0,,19.58885018,0,,18.87222527,0
7.528628862,1,,,,,,,,,,,19.560469,0
7.610980824,1,,,,,,,,,,,,
7.676862393,1,,,,,,,,,,,,
7.742743962,1,,,,,,,,,,,,
7.8745071,1,,,,,,,,,,,,
7.94038867,1,,,,,,,,,,,,
8.0172505,1,,,,,,,,,,,,
8.08313207,1,,,,,,,,,,,,
8.138033377,1,,,,,,,,,,,,
8.203914946,1,,,,,,,,,,,,
8.280776777,1,,,,,,,,,,,,
8.346658346,1,,,,,,,,,,,,
